x,height
0,-0.0000
1,1.0940
2,2.2542
3,3.5408
4,5.0077
5,6.7222
6,8.7580
7,11.1665
8,13.9541
9,17.0749
10,20.4384
11,23.9222
12,27.3888
13,30.7045
14,33.7559
15,36.4638
16,38.7904
17,40.7366
18,42.3292
19,43.5994
20,44.5866
21,45.3253
22,45.8376
23,46.1488
24,46.2963
25,46.3337
26,46.3318
27,46.3573
28,46.4561
29,46.6675
30,47.0323
31,47.5931
32,48.3899
33,49.4552
34,50.8084
35,52.4519
36,54.3664
37,56.5083
38,58.8003
39,61.1143
40,63.2938
41,65.1866
42,66.6701
43,67.6662
44,68.1484
45,68.1401
46,67.7073
47,66.9463
48,65.9681
49,64.8812
50,63.7752
51,62.7121
52,61.7270
53,60.8320
54,60.0233
55,59.2948
56,58.6381
57,58.0432
58,57.5132
59,57.0650
60,56.7135
61,56.4642
62,56.3107
63,56.2361
64,56.2162
65,56.2231
66,56.2277
67,56.2010
68,56.1134
69,55.9331
70,55.6300
71,55.1796
72,54.5744
73,53.8285
74,52.9723
75,52.0450
76,51.0832
77,50.1147
78,49.1487
79,48.1710
80,47.1504
81,46.0430
82,44.7986
83,43.3665
84,41.7027
85,39.7778
86,37.5834
87,35.1378
88,32.4893
89,29.7146
90,26.9119
91,24.1852
92,21.6180
93,19.2584
94,17.1201
95,15.1960
96,13.4803
97,11.9763
98,10.6956
99,9.6516
100,8.8501
101,8.2753
102,7.8770
103,7.5764
104,7.2852
105,6.9216
106,6.4213
107,5.7447
108,4.8775
109,3.8243
110,2.5905
111,1.1612
112,-0.4884
113,-2.3714
114,-4.4714
115,-6.7372
116,-9.0870
117,-11.4193
118,-13.6278
119,-15.6171
120,-17.3181
121,-18.6997
122,-19.7719
123,-20.5784
124,-21.1723
125,-21.5855
126,-21.8471
127,-22.0015
128,-22.1021
129,-22.2012
130,-22.3439
131,-22.5751
132,-22.9755
133,-23.6340
134,-24.6015
135,-25.8689
136,-27.3638
137,-28.9615
138,-30.5042
139,-31.8245
140,-32.7694
141,-33.2219
142,-33.1144
143,-32.4354
144,-31.2262
145,-29.5680
146,-27.5532
147,-25.2798
148,-22.8608
149,-20.4156
150,-18.0542
151,-15.8659
152,-13.9166
153,-12.2289
154,-10.7671
155,-9.4580
156,-8.2090
157,-6.9240
158,-5.5150
159,-3.9147
160,-2.0868
161,-0.0360
162,2.1877
163,4.4916
164,6.7566
165,8.8722
166,10.7824
167,12.4886
168,14.0222
169,15.4187
170,16.7055
171,17.8970
172,18.9975
173,20.0053
174,20.9153
175,21.7167
176,22.3824
177,22.8775
178,23.1778
179,23.2722
180,23.1641
181,22.8719
182,22.4289
183,21.8812
184,21.2826
185,20.6654
186,20.0081
187,19.2764
188,18.4606
189,17.5918
190,16.7426
191,16.0177
192,15.5389
193,15.4284
194,15.7920
195,16.7062
196,18.2093
197,20.2974
198,22.9260
199,26.0180
200,29.4686
201,33.1471
202,36.9085
203,40.6072
204,44.1101
205,47.3207
206,50.2140
207,52.8155
208,55.1688
209,57.3202
210,59.3106
211,61.1695
212,62.9138
213,64.5450
214,66.0474
215,67.3868
216,68.5098
217,69.3518
218,69.8522
219,69.9879
220,69.8104
221,69.4124
222,68.8932
223,68.3621
224,67.9208
225,67.6406
226,67.5491
227,67.6166
228,67.7413
229,67.7734
230,67.5490
231,66.9185
232,65.7698
233,64.0457
